Name,Restaurant ID,Rating,Address,Cuisine,Cost for Two
KFC Kolkata,18552608,3.9,"4th Floor, Yum Street, Lake Mall, 104, Rashbehari Avenue, Lake Market Area, Kolkata","Burger, Fast Food",500
KFC Kolkata,18632911,3.8,"Mouza Banamalipur, Jessore Road East, North 24 Parganas, Barasat, Kolkata","Burger, Fast Food",500
KFC Kolkata,18646083,4.1,"26A, Hindustan Park, Kolkata","Burger, Fast Food",500
KFC Kolkata,18698012,3.8,"18/16, Ghosh Para Road, Barrackpore, Kolkata","Burger, Fast Food",500
KFC Kolkata,18848656,NEW,"96 Diamond Harbour Road(Shaker Bazzar), Behala, Kolkata","Burger, Fast Food",500
KFC Kolkata,20287,3.9,"20K, Park Street, Park Street Area, Kolkata","Burger, Fast Food",500
KFC Kolkata,20288,3.9,"1st Floor, Shop 105, City Centre 1, Sector 1, Salt Lake","Burger, Fast Food",500
KFC Kolkata,20737,4,"3, Humayun Place, Ground Floor, New Empire Cinema Building, New Market Area, Kolkata","Burger, Fast Food",500
KFC Kolkata,20894,4,"Ground Floor, Block C, City Centre 2 Mall, Chinar Park, Kolkata","Burger, Fast Food",500
KFC Kolkata,21536,3.7,"Podium Floor, Globsyn Crystal, EP & GP Block, Sector 5, Salt Lake","Burger, Fast Food",500
KFC Kolkata,23227,4,"Ground Floor, Diamond Plaza Mall, 68 Nagerbazar, Nagerbazar, Kolkata","Burger, Fast Food",500
KFC Kolkata,23228,3.8,"Ground Floor, Block C, DLF IT Park, Main Arterial Road, New Town, Kolkata","Burger, Fast Food",500
KFC Kolkata,23229,3.7,"Shree Tower, RAA44, V.I.P. Road, Baguihati, Kolkata","Burger, Fast Food",500
KFC Kolkata,23799,3.9,"4th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata","Burger, Fast Food",500
KFC Kolkata,23836,3.9,"139, Bidhan Sarani, Haathi Bagan Market, Hatibagan, Kolkata","Burger, Fast Food",500
KG4 Kolkata,18471951,3.6,"422, Sudha Apartments. Garia Garden, Garia, Kolkata","Chinese, Thai, Momos",500
KIFO - Food's by Kilo Kolkata,18458033,3.9,"Rabindrapally, Kestopur, Kolkata","North Indian, Mughlai",350
KIFO Thaali Kolkata,18526274,3,"Flat -3D, Arritra Apartment, AE 8, Rabindrapally, Kestopur, Kolkata","North Indian, Chinese",300
KK's Fusion Kolkata,21633,3.8,"89C, Narkeldanga Main Road, Near Swabhumi, Kankurgachi, Kolkata","North Indian, Chinese, Seafood, Indian","1,200"
KK's Kitchen Kolkata,18785784,3.3,"142/16, Barrackpore-Barasat Road, Nonachandan Pukur, Barrackpore, Kolkata",Fast Food,200
KOOK IN Kolkata,18856018,NEW,"Balaram Apartment, Unit 4 Mahisbatan, Sector 5, Salt Lake, Kolkata","North Indian, Chinese, Rolls",300
Kaafila Kolkata,21426,4.4,"3rd Floor, Block B, City Centre 1, Sector 1, Salt Lake","North Indian, Afghani, Mughlai","1,500"
Kababi Kolkata,18763625,3.2,"6/6 Bijoy Garh Near Palleshree More, Tollygunge, Kolkata","Kebab, Rolls",200
Kabul Kolkata Kolkata,18386817,4.1,"6, Jhowtalla Road, Near 7 Point Crossing, Park Circus Area, Kolkata","Afghani, Mughlai",600
Kabuliwala Kolkata,18382567,4.3,"New Town, Kolkata","Biryani, North Indian",550
Kabuliwala Kolkata,18452219,4.3,"Sector 5, Salt Lake","Biryani, North Indian",550
Kabuliwala Kolkata,18452231,4.4,"SSH Delicacies Pvt. Ltd. MB 232, Mahisbatan, Sector 5, Salt Lake , Kolkata","Biryani, North Indian",550
Kabuliwala Kolkata,18598556,4.3,"Near City Centre 2, Chinar Park, Kolkata","Biryani, North Indian",550
Kabuliwala Kolkata,18638524,4.6,"Selimpur Area, Dhakuria, Kolkata","Biryani, North Indian",550
Kabuliwala Kolkata,18685352,-,"Peerless Hospital Area, New Market Area, Kolkata","Biryani, North Indian",550
Kabuliwala Kolkata,18685354,4.3,"Lords More Area, Southern Avenue, Kolkata","Biryani, North Indian",550
Kabuliwala Kolkata,18685355,4.1,"Golpark, Kolkata","Biryani, North Indian",550
