Tara Maa Sweets,23523,College Street
Homebakerz,18645748,College Street
Jugal's,22915,College Street
Sarat Sweets,22929,College Street
Makhan Lal Das & Sons,18756940,College Street
THE FOODIES,18853080,College Street
The Sugarr & Spice,18070810,College Street
Sweetarts,18629319,College Street
Basanta Cabin,22931,College Street
Silver Valley Restaurant,18747474,College Street
The Zeeshan,22895,College Street
Domino's Pizza,25560,Girish Park
Cafe Valentino,25568,Girish Park
Fork & Dagger,18390677,Girish Park
Samrat Kitchen,18609413,Girish Park
Hungerpangs,18323595,Girish Park
Urbans Cafe,22870,Girish Park
Agarwal's Pav Bhaji,23498,Girish Park
Niranjan Agar,17983781,Girish Park
Poochkawala,18729262,Girish Park
Krazzy For Chicken,18649961,Girish Park
Fantastic Food Story,18361668,Girish Park
Bandana Chat Centre,23521,Girish Park
Junk House Gets Junky!,18597399,Girish Park
Chhota Ellaichi,20638,Girish Park
Hungry Hippo,18510856,Girish Park
Wow! Momo,18431466,Girish Park
Mahamaya Mistanna Bhandar,23524,Girish Park
Cave Cafe & Lounge,18670030,Girish Park
Green Chilly,23505,Girish Park
Coffichat,18296474,Girish Park
Upper Cakes,24643,Girish Park
Cake Goals,18636402,Girish Park
Punjab Hindu Hotel,20414,Girish Park
AFC - Awesome Food Corner,18574162,Girish Park
Upper Crust,18431490,Girish Park
Aroma,18650226,Girish Park
Bishnu ji Chat Centre,18265444,Girish Park
Gupta's Pav Bhaji,23497,Girish Park
The Chocolate Boutique,18682202,Girish Park
Pavitra Jalpan,23984,Girish Park
Marwar Junction,18420513,Girish Park
The Stupid Boy,18802803,Girish Park
Kathleen,23017,Girish Park
CHOCOBOY,18367236,Girish Park
Shingha Bahini Mistanna Bhandar,22912,Girish Park
Sidhhi Vinayak Food Plaza,18660426,Girish Park
Mukti Cabin,18869606,Girish Park
Cream N Cheez,18459671,Girish Park
Hot Dhaba,23504,Girish Park
Arsalan,23359,Hatibagan
Zoya Biriyani,25213,Hatibagan
Girish Chandra Dey & Nakur Chandra Nandy,22078,Hatibagan
Royal Spoon,24294,Hatibagan
KFC,23836,Hatibagan
Pappu Biryani House,18649952,Hatibagan
Petuk Kolkata,18649981,Hatibagan
Lebanese Junction - Steak House,24502,Hatibagan
Blossom,20719,Hatibagan
Pizza Hut,23848,Hatibagan
Nalin Chandra Das & Sons,22431,Hatibagan
New Madras Tiffin,23847,Hatibagan
Bagicha,20677,Hatibagan
C/o. Bangali,18366914,Hatibagan
City's Sizzler,20137,Hatibagan
Hungry Monkkzzz,18780742,Hatibagan
Fatso's,22432,Hatibagan
Naba Malancha,23683,Hatibagan
Only 4 Chinese Gazab,25378,Hatibagan
Bhojohori Manna,20074,Hatibagan
Aqua Java,25412,Hatibagan
Wow! Momo,23876,Hatibagan
Koshe Kosha,20702,Hatibagan
WFC (Wow Fried Chicken),18643622,Hatibagan
Time Pass Fast Food Centre,18325243,Hatibagan
Shiv Assram,18265454,Hatibagan
Desi Chinese,18649970,Hatibagan
Capri Restaurant,22353,Hatibagan
Kum Kum Fast Food Centre,22364,Hatibagan
Cafe Coffee Day,18471920,Hatibagan
Mushroom,20356,Hatibagan
Lakshmi Narayan Shaw & Son,18134901,Hatibagan
Mio Amore,25239,Hatibagan
Das Kitchen & Caterers,18618445,Hatibagan
Hedua Chat,24674,Hatibagan
jitendra's hotel,18865223,Hatibagan
Sutanuti Junction,23079,Hatibagan
Just Baked,21028,Hatibagan
Adi Malancha,18570078,Hatibagan
Fusion,21159,Hatibagan
Poopsie's,18565713,Hatibagan
Subodh Chandra Mullick,22435,Hatibagan
Kalicharan Das,22433,Hatibagan
Belgian Waffle House,18741443,Hatibagan
Food Castle,21445,Hatibagan
The French Loaf,18661703,Hatibagan
Mallika Fast Food Centre,18643623,Hatibagan
Upper Cakes,25212,Hatibagan
Nani Lal Ghosh,18204094,Hatibagan
K.C.Gope & Co.,18251913,Hatibagan
Sagnik,18649975,Hatibagan
The Young Mug,18746485,Hatibagan
Momore,24662,Hatibagan
Punjab National Hindu Hotel,22872,Hatibagan
Shan-E-Punjab,18712244,Hatibagan
Chalo khai,18656862,Hatibagan
New Basanta Cabin,22401,Hatibagan
Bake Club,25211,Hatibagan
Dimsum Station,18566891,Hatibagan
Purbani Restaurant,22604,Hatibagan
Mitali Restaurant,18707598,Hatibagan
Kalash Sweets,22605,Hatibagan
AFC,18778038,Hatibagan
METRO SPICE,18866812,Hatibagan
Ekanto Apon Fast Food Centre,18134889,Hatibagan
Jalajoga Misti,18249174,Hatibagan
Bengal Food Factory,18618928,Hatibagan
Fat Buns,18577767,Hatibagan
Srija Food,18441464,Hatibagan
Aunty Food.Com,18777024,Hatibagan
Dhawaq Restaurant ,18547354,Hatibagan
M/S Binode Behari Nag Ganesh Chandra Dutta,22610,Hatibagan
North Point,21647,Hatibagan
Lakshmi Mistanna Bhandar,22913,Hatibagan
shimla biryani,18796167,Hatibagan
Cream & Treat,18367247,Hatibagan
Gayetri Fast Food Centre,22956,Hatibagan
Chef & Best Fast Food,23514,Hatibagan
Golok Barman,18259439,Hatibagan
